model,month,n_obs,n_days,r2,mse,mae,rmse,ic,rank_ic
Ridge,2025-01,55044,18,0.0077585784578917405,1.7020491361618042,0.706402063369751,1.3046260522317512,0.10407098972176733,0.08701345501980873
Ridge,2025-02,55044,18,0.005920123829421309,1.4220126867294312,0.5867661237716675,1.1924817343378602,0.10913448096540633,0.07180981849417879
Ridge,2025-03,64218,21,0.0026183059890825255,1.2963981628417969,0.5818246006965637,1.1385948194339357,0.07894864446871334,0.0628820323868992
Ridge,2025-04,64218,21,-0.012377950514375735,4.065581798553467,1.1028993129730225,2.0163287922740842,0.11019695344308099,0.09116334091957183
Ridge,2025-05,58102,19,-0.003813186756079112,1.6003444194793701,0.6052417755126953,1.2650472004946576,0.08456190021682279,0.05671437554564899
Ridge,2025-06,61160,20,-0.0003140163545254371,1.7628740072250366,0.5768870711326599,1.3277326565333236,0.052592159615565015,0.04785681546552216
Ridge,2025-07,70334,23,0.0017191020670267454,1.427138328552246,0.5202846527099609,1.194628950156594,0.07634744128557557,0.06726106333258745
Ridge,2025-08,64218,21,-0.008709928876041717,1.1349865198135376,0.5156528353691101,1.0653574610493595,0.0658328107474315,0.0673299511266485
Ridge,2025-09,67276,22,-0.0047630254024668695,1.1560254096984863,0.5304800868034363,1.07518622093965,0.058112828014086244,0.04895776286365477
Ridge,2025-10,51986,17,-0.00505434119385173,2.1639413833618164,0.7876932621002197,1.471034120393479,0.04383120364700408,0.03910489136335447
Ridge,2025-11,33638,11,-0.004524328808019895,1.3548603057861328,0.594254732131958,1.163984667332922,0.08145918404830187,0.05754946763197872
LightGBM,2025-01,55044,18,0.033997127270552596,1.6570405960083008,0.6946448087692261,1.2872608888676378,0.17535271141561698,0.12326197103645521
LightGBM,2025-02,55044,18,0.020156403667642375,1.4016478061676025,0.5794594287872314,1.183912077042718,0.1617529435506053,0.12179810097421567
LightGBM,2025-03,64218,21,0.016913915035120297,1.277816653251648,0.58144611120224,1.1304055260178305,0.1695195079067617,0.10851342357136148
LightGBM,2025-04,64218,21,-0.001393682442541122,4.021470546722412,1.0918753147125244,2.005360453066334,0.16074479193675317,0.1212717940243812
LightGBM,2025-05,58102,19,0.00012507684667750762,1.5940659046173096,0.6008655428886414,1.262563227968132,0.13623037118261835,0.09291210939151359
LightGBM,2025-06,61160,20,0.008262722069887873,1.7477591037750244,0.5668029189109802,1.322028405056043,0.12023775330271975,0.12420955467159003
LightGBM,2025-07,70334,23,0.010862700380894652,1.4140665531158447,0.5088880658149719,1.1891453036176214,0.13614984280586243,0.12950903262974042
LightGBM,2025-08,64218,21,-0.008851871038460413,1.135146141052246,0.507396399974823,1.065432372819714,0.10796914775516382,0.1196989448468595
LightGBM,2025-09,67276,22,-0.0018818848358717055,1.1527106761932373,0.5266754031181335,1.0736436448809434,0.11149975433904181,0.07708079440058811
LightGBM,2025-10,51986,17,-0.0020446012675932046,2.157461166381836,0.7860317230224609,1.4688298629799967,0.10995640948492663,0.07892959134948262
LightGBM,2025-11,33638,11,0.015591692775883903,1.3277287483215332,0.5815791487693787,1.152271126220532,0.1537335733077545,0.15317389629721337
MLP,2025-01,55044,18,0.011032916265338755,1.6964325904846191,0.703697144985199,1.3024717234875463,0.11573635127175202,0.09488158209913142
MLP,2025-02,55044,18,0.01640469603938488,1.4070147275924683,0.5846142172813416,1.1861765162034141,0.15548890304865623,0.0963821484850236
MLP,2025-03,64218,21,0.0017467959902398578,1.2975308895111084,0.5889014005661011,1.139092133899233,0.13966033342006728,0.0983510277307683
MLP,2025-04,64218,21,-0.026983453553720782,4.124236106872559,1.1090151071548462,2.030821534963759,0.13211992553931415,0.07954819614063292
