date,buy_date,model,K,n_hold,gross_ret,net_ret,buy_cost,sell_cost,roundtrip_cost,is_trade_day,equity
2025-01-02,2024-12-31,ZeroGraph,10,10,0.004451759830117226,0.003251759830117226,0.0001,0.0011,0.0012000000000000001,1,1.0032517598301172
2025-01-03,2025-01-02,ZeroGraph,10,10,0.005722189202904702,0.004522189202904701,0.0001,0.0011,0.0012000000000000001,1,1.007788654106216
2025-01-06,2025-01-03,ZeroGraph,10,10,0.0049801115393638615,0.0037801115393638614,0.0001,0.0011,0.0012000000000000001,1,1.0115982076268428
2025-01-07,2025-01-06,ZeroGraph,10,10,0.009642103619873525,0.008442103619873525,0.0001,0.0011,0.0012000000000000001,1,1.0201382245173072
2025-01-08,2025-01-07,ZeroGraph,10,10,-0.0036307762414216995,-0.0048307762414217,0.0001,0.0011,0.0012000000000000001,1,1.0152101650193428
2025-01-09,2025-01-08,ZeroGraph,10,10,-0.0005721780657768248,-0.0017721780657768249,0.0001,0.0011,0.0012000000000000001,1,1.0134110318327418
2025-01-10,2025-01-09,ZeroGraph,10,10,0.005657424047589302,0.004457424047589302,0.0001,0.0011,0.0012000000000000001,1,1.0179282345361254
2025-01-13,2025-01-10,ZeroGraph,10,10,-0.0025921408832073212,-0.0037921408832073213,0.0001,0.0011,0.0012000000000000001,1,1.0140681072617699
2025-01-14,2025-01-13,ZeroGraph,10,10,0.005690023802220822,0.004490023802220822,0.0001,0.0011,0.0012000000000000001,1,1.0186212972004483
2025-01-15,2025-01-14,ZeroGraph,10,10,0.006299811013042926,0.005099811013042925,0.0001,0.0011,0.0012000000000000001,1,1.0238160733100312
2025-01-16,2025-01-15,ZeroGraph,10,10,0.0019197759777307508,0.0007197759777307507,0.0001,0.0011,0.0012000000000000001,1,1.0245529915252143
2025-01-17,2025-01-16,ZeroGraph,10,10,-0.002993028819561005,-0.0041930288195610056,0.0001,0.0011,0.0012000000000000001,1,1.0202570113045817
2025-01-20,2025-01-17,ZeroGraph,10,10,0.0024595500677824017,0.0012595500677824016,0.0001,0.0011,0.0012000000000000001,1,1.0215420760923257
2025-01-21,2025-01-20,ZeroGraph,10,10,0.0032614547014236453,0.002061454701423645,0.0001,0.0011,0.0012000000000000001,1,1.0236479388077884
2025-01-22,2025-01-21,ZeroGraph,10,10,-0.012477145053446295,-0.013677145053446294,0.0001,0.0011,0.0012000000000000001,1,1.0096473574650529
2025-01-23,2025-01-22,ZeroGraph,10,10,0.006266064763069153,0.005066064763069153,0.0001,0.0011,0.0012000000000000001,1,1.0147622963658325
2025-01-24,2025-01-23,ZeroGraph,10,10,0.002347857996821404,0.001147857996821404,0.0001,0.0011,0.0012000000000000001,1,1.0159270993825888
2025-01-27,2025-01-24,ZeroGraph,10,10,-0.004675692886114121,-0.005875692886114121,0.0001,0.0011,0.0012000000000000001,1,1.009957823751936
2025-02-05,2025-01-27,ZeroGraph,10,10,0.006969254881143569,0.005769254881143569,0.0001,0.0011,0.0012000000000000001,1,1.015784527856366
2025-02-06,2025-02-05,ZeroGraph,10,10,0.006303699284791947,0.005103699284791947,0.0001,0.0011,0.0012000000000000001,1,1.0209687866246893
2025-02-07,2025-02-06,ZeroGraph,10,10,0.006300508692860604,0.005100508692860604,0.0001,0.0011,0.0012000000000000001,1,1.0261762467960078
2025-02-10,2025-02-07,ZeroGraph,10,10,0.0009791122898459436,-0.00022088771015405656,0.0001,0.0011,0.0012000000000000001,1,1.0259495770746385
2025-02-11,2025-02-10,ZeroGraph,10,10,0.0037441945523023616,0.0025441945523023615,0.0001,0.0011,0.0012000000000000001,1,1.0285597923995686
2025-02-12,2025-02-11,ZeroGraph,10,10,-0.004627795509994028,-0.005827795509994028,0.0001,0.0011,0.0012000000000000001,1,1.022565556259662
2025-02-13,2025-02-12,ZeroGraph,10,10,-0.000153621286153793,-0.001353621286153793,0.0001,0.0011,0.0012000000000000001,1,1.0211813897562212
2025-02-14,2025-02-13,ZeroGraph,10,10,0.0043577923923730855,0.0031577923923730854,0.0001,0.0011,0.0012000000000000001,1,1.0244060685800265
2025-02-17,2025-02-14,ZeroGraph,10,10,0.010366167947649956,0.009166167947649956,0.0001,0.0011,0.0012000000000000001,1,1.033795946651223
2025-02-18,2025-02-17,ZeroGraph,10,10,0.008214811451733112,0.007014811451733112,0.0001,0.0011,0.0012000000000000001,1,1.0410478302965473
2025-02-19,2025-02-18,ZeroGraph,10,10,0.002549944654107093,0.0013499446541070928,0.0001,0.0011,0.0012000000000000001,1,1.0424531872497258
2025-02-20,2025-02-19,ZeroGraph,10,10,0.014391859896481032,0.013191859896481032,0.0001,0.0011,0.0012000000000000001,1,1.0562050836445644
2025-02-21,2025-02-20,ZeroGraph,10,10,-0.0004427863061428073,-0.0016427863061428075,0.0001,0.0011,0.0012000000000000001,1,1.0544699643966748
2025-02-24,2025-02-21,ZeroGraph,10,10,0.007468412443995476,0.006268412443995475,0.0001,0.0011,0.0012000000000000001,1,1.0610798170433184
2025-02-25,2025-02-24,ZeroGraph,10,10,-0.008474947407841684,-0.009674947407841684,0.0001,0.0011,0.0012000000000000001,1,1.050813925617902
2025-02-26,2025-02-25,ZeroGraph,10,10,0.0021712975203990936,0.0009712975203990935,0.0001,0.0011,0.0012000000000000001,1,1.0518345785782555
2025-02-27,2025-02-26,ZeroGraph,10,10,0.0036011369973421104,0.0024011369973421103,0.0001,0.0011,0.0012000000000000001,1,1.0543601774999634
2025-02-28,2025-02-27,ZeroGraph,10,10,0.013117744900286197,0.011917744900286197,0.0001,0.0011,0.0012000000000000001,1,1.0669257731284285
2025-03-03,2025-02-28,ZeroGraph,10,10,0.004738325618207455,0.0035383256182074546,0.0001,0.0011,0.0012000000000000001,1,1.0707009039242148
2025-03-04,2025-03-03,ZeroGraph,10,10,0.00017242761701345436,-0.0010275723829865457,0.0001,0.0011,0.0012000000000000001,1,1.0696006812449035
2025-03-05,2025-03-04,ZeroGraph,10,10,-0.001928286522626877,-0.003128286522626877,0.0001,0.0011,0.0012000000000000001,1,1.0662546638491726
2025-03-06,2025-03-05,ZeroGraph,10,10,0.01360130414366722,0.01240130414366722,0.0001,0.0011,0.0012000000000000001,1,1.07947761223017
2025-03-07,2025-03-06,ZeroGraph,10,10,0.008351807169616223,0.0071518071696162235,0.0001,0.0011,0.0012000000000000001,1,1.0871978279567578
2025-03-10,2025-03-07,ZeroGraph,10,10,0.007698438778519631,0.006498438778519631,0.0001,0.0011,0.0012000000000000001,1,1.0942629164818742
2025-03-11,2025-03-10,ZeroGraph,10,10,-0.0056527528911829,-0.0068527528911829,0.0001,0.0011,0.0012000000000000001,1,1.0867642031172389
2025-03-12,2025-03-11,ZeroGraph,10,10,0.005374023362994194,0.004174023362994194,0.0001,0.0011,0.0012000000000000001,1,1.0913003822911158
2025-03-13,2025-03-12,ZeroGraph,10,10,0.008820310503244399,0.007620310503244399,0.0001,0.0011,0.0012000000000000001,1,1.0996164300564835
2025-03-14,2025-03-13,ZeroGraph,10,10,0.016208105087280274,0.015008105087280274,0.0001,0.0011,0.0012000000000000001,1,1.1161195889944713
2025-03-17,2025-03-14,ZeroGraph,10,10,0.022803953766822812,0.021603953766822812,0.0001,0.0011,0.0012000000000000001,1,1.1402321849933532
2025-03-18,2025-03-17,ZeroGraph,10,10,-0.00037624076008796703,-0.0015762407600879672,0.0001,0.0011,0.0012000000000000001,1,1.1384349045474025
